id,card_name,type,min,max,effects,attached_items,weapon
1,Slash,attack,1,4,[],[],Sword.png
2,Block,defense,2,4,[],[],Shield.png
3,Atk Up,util,2,2,[],[],atk_up.png
4,Def Up,util,2,2,[],[],def_up.png
5,Heal,util,3,3,[],[],heal.png
6,Gun,attack,5,7,[],[],gun.png
7,Stick,attack,1,2,[],[],Stick.png
8,Rock,attack,1,3,[],[],Rock.png
10,M. Missile,attack,3,5,[def_pen],[],Shield.png
11,M. Shield,defense,4,5,[atk_down],[],Shield.png
12,Fireball,attack,4,6,[burn;def_pen],[],Shield.png
13,Gun+,attack,99,999,[],[],gun+.png
