id,card_name,type,min,max,effects,attached_items,weapon
14,Dagger,attack,2,4,[],[],
15,Parry,defense,1,3,[atk_down],[],
16,Spd Up,util,2,2,[],[],
17,Poison Dart,attack,2,3,[poison],[],
18,Iron Wall,defense,5,6,[],[],
19,Thunder Strike,attack,5,8,[stun],[],
20,Cure,util,4,4,[],[],
21,Smoke Bomb,util,2,2,[blind],[],
22,Backstab,attack,4,7,[],[],
23,M. Barrier,defense,6,7,[reflect],[],
24,Ice Shard,attack,3,5,[slow],[],
25,Rage,util,3,3,[atk_up],[],
26,Axe,attack,3,6,[],[],
27,Counter,defense,3,4,[counter],[],
28,Blizzard,attack,6,9,[freeze;def_pen],[],
29,Resurrect,util,5,5,[],[],
30,Chain Lightning,attack,7,10,[stun;pierce],[],
31,Fortify,defense,4,6,[def_up],[],
32,Venomous Blade,attack,4,6,[poison;bleed],[],
33,Berserk,util,3,3,[atk_up;def_down],[],
